DEBUG 2025-01-27 07:51:16,801 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1737874397.0498612
DEBUG 2025-01-27 07:51:16,801 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\asyncio\base_subprocess.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,804 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\rest_framework\schemas\views.py first seen with mtime 1737874403.8080094
DEBUG 2025-01-27 07:51:16,805 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\utils\__init__.py first seen with mtime 1737874397.2711446
DEBUG 2025-01-27 07:51:16,805 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\selenium\webdriver\support\wait.py first seen with mtime 1737902362.0190914
DEBUG 2025-01-27 07:51:16,806 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\rest_framework\__init__.py first seen with mtime 1737874403.4760342
DEBUG 2025-01-27 07:51:16,806 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\rest_framework\parsers.py first seen with mtime 1737874403.5233824
DEBUG 2025-01-27 07:51:16,806 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\requests\_internal_utils.py first seen with mtime 1737874392.589777
DEBUG 2025-01-27 07:51:16,809 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\views\__init__.py first seen with mtime 1737874397.3180504
DEBUG 2025-01-27 07:51:16,809 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\soupsieve\css_parser.py first seen with mtime 1737874391.9705584
DEBUG 2025-01-27 07:51:16,812 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\textwrap.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,812 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1737874397.0729058
DEBUG 2025-01-27 07:51:16,813 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\rest_framework\exceptions.py first seen with mtime 1737874403.4916816
DEBUG 2025-01-27 07:51:16,814 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\asgiref\__init__.py first seen with mtime 1737874392.542429
DEBUG 2025-01-27 07:51:16,814 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\importlib\metadata\_functools.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,815 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\uuid.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,815 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\websocket\_cookiejar.py first seen with mtime 1737902358.727677
DEBUG 2025-01-27 07:51:16,817 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\socketserver.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,817 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\db\models\options.py first seen with mtime 1737874397.0574079
DEBUG 2025-01-27 07:51:16,817 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1737874394.0870323
DEBUG 2025-01-27 07:51:16,817 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\asyncio\tasks.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,819 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1737874397.2082186
DEBUG 2025-01-27 07:51:16,819 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\template\base.py first seen with mtime 1737874397.22384
DEBUG 2025-01-27 07:51:16,820 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\urllib3\util\wait.py first seen with mtime 1737874391.2867181
DEBUG 2025-01-27 07:51:16,820 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\http\response.py first seen with mtime 1737874397.2082186
DEBUG 2025-01-27 07:51:16,820 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1737874396.7561724
DEBUG 2025-01-27 07:51:16,820 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1737874396.7184324
DEBUG 2025-01-27 07:51:16,823 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1737874397.053862
DEBUG 2025-01-27 07:51:16,823 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\http\request.py first seen with mtime 1737874397.2082186
DEBUG 2025-01-27 07:51:16,823 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1737874397.2868035
DEBUG 2025-01-27 07:51:16,823 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\db\models\constants.py first seen with mtime 1737874397.0480433
DEBUG 2025-01-27 07:51:16,823 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\views\i18n.py first seen with mtime 1737874397.3336706
DEBUG 2025-01-27 07:51:16,828 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\urllib3\connectionpool.py first seen with mtime 1737874391.265432
DEBUG 2025-01-27 07:51:16,828 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\selenium\webdriver\remote\remote_connection.py first seen with mtime 1737902361.9649138
DEBUG 2025-01-27 07:51:16,830 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1737874396.7340617
DEBUG 2025-01-27 07:51:16,832 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\wsgiref\simple_server.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,832 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\struct.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,835 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\tokenize.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,835 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1737874397.22384
DEBUG 2025-01-27 07:51:16,835 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\email\errors.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,835 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1737874397.043952
DEBUG 2025-01-27 07:51:16,835 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\urllib3\http2\__init__.py first seen with mtime 1737874391.2810473
